List File,15v-4-1_copy.lst
Start Time,2017-06-17  16:32:10
Sampling Time,49 sec

Count,5  of  5
Particles / ml,234

Efficiency,8.7%
PPUI,1.09

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),136.28,116.96,158.33,17.53,12.86
Aspect Ratio,0.76,0.62,0.91,0.11,14.38
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.75,0.67,0.81,0.05,7.06
Circularity (Hu),0.94,0.89,0.97,0.03,3.05
Compactness,1.41,1.17,1.70,0.21,15.12
Diameter (ABD),13.15,12.20,14.20,0.85,6.46
Diameter (ESD),14.52,13.16,15.79,1.09,7.50
Elongation,1.86,1.00,3.00,0.86,46.10
Geodesic Aspect Ratio,0.65,0.33,1.00,0.32,49.33
Geodesic Length,18.49,12.49,24.93,5.28,28.52
Geodesic Thickness,10.76,8.32,13.86,2.35,21.87
Image Height,38.60,33.00,44.00,4.62,11.96
Image Width,42.20,40.00,44.00,1.64,3.89
Intensity,121.66,101.14,139.17,15.28,12.56
Length,16.73,16.31,17.40,0.50,2.99
Perimeter,58.50,49.97,66.49,6.75,11.53
Roughness,1.19,1.06,1.37,0.13,11.19
Sigma Intensity,39.13,26.18,49.03,10.17,25.98
Sum Intensity,76874.80,61631.00,91855.00,14173.19,18.44
Transparency,0.09,0.07,0.12,0.02,21.54
Volume (ABD),1202.71,951.47,1498.63,230.62,19.18
Width,11.84,9.22,14.41,2.21,18.70

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,0,0.00,0.00,0.00,0.00
10-15um,3,60.00,51.28,141,0.20
15-20um,2,40.00,48.72,94,0.19
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

